objectid,tree_id,address,species,com_name,dbh,height,condition,land_type,park_name,x,y
1555,3050,400 E 11TH ST,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3116187.46222,10072078.6740
1556,3051,400 E 11TH ST,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3116222.75414,10072066.2908
1557,3052,400 E 11TH ST,Quercus virginiana,Southern Live Oak,20,38,Fair,ROW,,3116104.49486,10072110.8701
1558,3053,400 E 11TH ST,Quercus virginiana,Southern Live Oak,33,38,Fair,ROW,,3116138.54860,10072100.9636
1559,3054,400 E 11TH ST,Quercus fusiformis,Escarpment Live Oak,36,38,Fair,ROW,,3116035.76468,10072133.4075
1560,3055,300 E 11TH ST,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3115864.60328,10072118.7362
1561,3056,300 E 11TH ST,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3115709.09080,10072164.7053
1562,3057,300 E 11TH ST,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3115750.16978,10072152.9684
1563,3058,300 E 11TH ST,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3115778.53357,10072145.1440
1564,3059,300 E 11TH ST,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3115812.76579,10072136.3415
1566,3061,200 E 11TH ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),7,8,Good,ROW,,3115272.56542,10072366.8092
1567,3062,200 E 11TH ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),7,8,Good,ROW,,3115286.45549,10072363.0563
1568,3063,200 E 11TH ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),7,8,Good,ROW,,3115297.24123,10072359.7092
1569,3064,200 E 11TH ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),7,8,Good,ROW,,3115310.90688,10072355.3795
1570,3065,200 E 11TH ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),7,8,Good,ROW,,3115323.22904,10072352.0448
1571,3066,200 E 11TH ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),7,8,Good,ROW,,3115335.51444,10072348.2774
1572,3067,200 E 11TH ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),7,8,Good,ROW,,3115351.89269,10072343.2345
1573,3068,200 E 11TH ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),7,8,Good,ROW,,3115366.98059,10072339.1895
1574,3088,1200 SAN JACINTO BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3115697.45532,10072721.3318
1575,3089,1200 SAN JACINTO BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3115704.09179,10072742.7153
1576,3090,1200 SAN JACINTO BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3115709.99073,10072763.3619
1577,3091,1200 SAN JACINTO BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3115716.62687,10072784.7454
1578,3092,1200 SAN JACINTO BLVD,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3115721.05108,10072805.3920
